attribute,mean,max,min
12_dihalo_arene,0.009221902017291067,1.0,0.0
pattern_c93,0.12219020172910663,1.0,0.0
acetal_like,0.05590778097982709,1.0,0.0
pubchem_f777,0.2334293948126801,1.0,0.0
maccs_k115,0.49971181556195965,1.0,0.0
tetralin,0.016714697406340056,1.0,0.0
pattern_c249,0.006340057636887608,1.0,0.0
thiono group,0.006340057636887608,1.0,0.0
pubchem_f260,0.12910662824207492,1.0,0.0
pubchem_f712,0.23227665706051873,1.0,0.0
maccs_k067,0.0484149855907781,1.0,0.0
pubchem_f436,0.08472622478386167,1.0,0.0
pubchem_f556,0.17694524495677233,1.0,0.0
pubchem_f032,0.022478386167146973,1.0,0.0
maccs_322_070,0.013256484149855908,1.0,0.0
12_disubstituted_alkene,0.15446685878962535,1.0,0.0
maccs_k130,0.11296829971181556,1.0,0.0
pubchem_f446,0.08530259365994236,1.0,0.0
filter_bridged_rings_55_heterocyclic,0.02190201729106628,1.0,0.0
maccs_k071,0.0345821325648415,1.0,0.0
pubchem_f302,0.0345821325648415,1.0,0.0
pubchem_f433,0.22247838616714696,1.0,0.0
pubchem_f696,0.08703170028818444,1.0,0.0
pubchem_f181,0.1723342939481268,1.0,0.0
pattern_c11,0.6979827089337176,1.0,0.0
pubchem_f709,0.6979827089337176,1.0,0.0
maccs_322_059,0.89164265129683,1.0,0.0
pattern_c29,0.15273775216138327,1.0,0.0
maccs_k088,0.1256484149855908,1.0,0.0
sulfur_atom,0.1256484149855908,1.0,0.0
pubchem_f034,0.1256484149855908,1.0,0.0
pubchem_f757,0.11469740634005764,1.0,0.0
pubchem_f798,0.25302593659942363,1.0,0.0
maccs_k073,0.044956772334293946,1.0,0.0
pubchem_f801,0.044956772334293946,1.0,0.0
maccs_322_037,0.0138328530259366,1.0,0.0
maccs_k116,0.5083573487031701,1.0,0.0
maccs_k109,0.330835734870317,1.0,0.0
pubchem_f660,0.19423631123919308,1.0,0.0
phosphate monoester,0.020172910662824207,1.0,0.0
pubchem_f598,0.16887608069164264,1.0,0.0
pattern_c164,0.07146974063400577,1.0,0.0
maccs_k117,0.2697406340057637,1.0,0.0
aryl_fluoride,0.022478386167146973,1.0,0.0
pattern_c200,0.022478386167146973,1.0,0.0
